"","plant","BR_code","date_time","ShootFW","ShootDW","RootFW","RootDW","spore","rep","plant_name","ASSYST","dpi","RSDW","RSFW","biomass_allocDW","biomass_allocFW"
"30","3","BR7-03122","2015/8/28 00:00:00",320,53.7,39,5.96,"2","2","Chinese cabbage Wong Bok","Sheff-003","53",0.11098696461825,0.121875,0.0998994301039222,0.108635097493036
"31","3","BR7-03123","2015/8/28 00:00:00",285,36.52,94,13,"2","3","Chinese cabbage Wong Bok","Sheff-003","53",0.355969331872946,0.329824561403509,0.262520193861066,0.24802110817942
"32","3","BR7-03124","2015/8/28 00:00:00",353,50.18,45,5.84,"2","4","Chinese cabbage Wong Bok","Sheff-003","53",0.116381028298127,0.127478753541076,0.104248482684755,0.113065326633166
"33","3","BR7-03131","2015/8/28 00:00:00",403,46.13,25,4.47,"3","1","Chinese cabbage Wong Bok","Sheff-003","53",0.0969000650336007,0.0620347394540943,0.0883399209486166,0.058411214953271
"34","3","BR7-03132","2015/8/28 00:00:00",75,13.16,94,9.13,"3","2","Chinese cabbage Wong Bok","Sheff-003","53",0.693768996960486,1.25333333333333,0.409600717810677,0.556213017751479
"35","3","BR7-03133","2015/8/28 00:00:00",355,56.56,25,3.8,"3","3","Chinese cabbage Wong Bok","Sheff-003","53",0.0671852899575672,0.0704225352112676,0.0629555997349238,0.0657894736842105
"36","3","BR7-03134","2015/8/28 00:00:00",370,37.08,31,4.35,"3","4","Chinese cabbage Wong Bok","Sheff-003","53",0.117313915857605,0.0837837837837838,0.104996379435192,0.0773067331670823
"37","4","BR7-04111","2015/8/28 00:00:00",239,35.87,33,5.66,"1","1","Kale Ragged Jack","BnASSYST-209","53",0.157792026763312,0.138075313807531,0.136287021430291,0.121323529411765
"38","4","BR7-04112","2015/8/28 00:00:00",234,34.35,29,5.24,"1","2","Kale Ragged Jack","BnASSYST-209","53",0.15254730713246,0.123931623931624,0.132356655721142,0.110266159695817
"39","4","BR7-04113","2015/8/28 00:00:00",200,28.05,40,6.5,"1","3","Kale Ragged Jack","BnASSYST-209","53",0.231729055258467,0.2,0.188133140376266,0.166666666666667
"40","4","BR7-04114","2015/8/28 00:00:00",215,30.97,30,4.95,"1","4","Kale Ragged Jack","BnASSYST-209","53",0.159832095576364,0.13953488372093,0.137806236080178,0.122448979591837
"41","4","BR7-04121","2015/8/28 00:00:00",187,26.43,31,4.62,"2","1","Kale Ragged Jack","BnASSYST-209","53",0.174801362088536,0.165775401069519,0.148792270531401,0.142201834862385
"42","4","BR7-04122","2015/8/28 00:00:00",222,36.44,44,8,"2","2","Kale Ragged Jack","BnASSYST-209","53",0.21953896816685,0.198198198198198,0.18001800180018,0.165413533834586
"43","4","BR7-04123","2015/8/28 00:00:00",200,34.36,37,7.17,"2","3","Kale Ragged Jack","BnASSYST-209","53",0.208672875436554,0.185,0.172646279797737,0.156118143459916
"44","4","BR7-04124","2015/8/28 00:00:00",221,29.57,32,5.42,"2","4","Kale Ragged Jack","BnASSYST-209","53",0.183293878931349,0.144796380090498,0.154901400400114,0.126482213438735
"45","4","BR7-04131","2015/8/28 00:00:00",211,30.69,40,6.9,"3","1","Kale Ragged Jack","BnASSYST-209","53",0.224828934506354,0.18957345971564,0.183559457302474,0.159362549800797
"46","4","BR7-04132","2015/8/28 00:00:00",233,35.52,40,7.93,"3","2","Kale Ragged Jack","BnASSYST-209","53",0.223254504504504,0.171673819742489,0.182508630609896,0.146520146520147
